author,comment,voteCount,replyCount,channel,country
@Dwn2Race,Sad… but haven’t they been saying that for several weeks to months now…..  and it’s Hamas Health System to be correct… their running the show!,0,0,NBC News,USA
@benknowbi3380,"Well they voted for HAMAS, so they should take up their complaints with them. Wheres all that protection, Hamas and Allah are supposed yo provide?",4,0,NBC News,USA
@user-cg5st2ek1k,اصبح المحتل له حق الدفاع عن نفسةوصاحب الأرض الذى يدافع عن أرضه اصبح هو الارهابى فلسطين ارض عربية وجاءت إسرائيل سنة 1948واحتلتها .وليس حتى للمحتل ان يدافع عن نفسه فى ميثاق الأمم المتحدة...الكثير من الناس يريدون تبديل وتغيير الحقائق بل وتزييفها ولاكن الحقيقة متاحة لمن يريد معرفتها.,5,0,NBC News,USA
@randyprince892,"YOU MAKE YOUR BED YOU LIE IN IT.
PALESTINIANS  HAVE NO ONE TO BLAME BUT THEMSELVES.",0,0,NBC News,USA
@zb6070,"WHO: Gaza's health system is a collapsing
A random person: So should Hamas surrender, release all hostages, and quit using hospitals are military shields?
WHO: LOL OMG NO",5,0,NBC News,USA
@paulbacon517,"All this death, destruction and despair is on Hamas. Muslim hate for Jews is so deep-seeded they will keep fighting and the IDF will keep retaliating until there is nothing left standing in Gaza. The war would end tomorrow if Hamas would stop attacking Israel and lay down their weapons.",0,0,NBC News,USA
@ZOIZENWRITER,WAR IS DUMB,2,0,NBC News,USA
@ahm-jq,"Jesus will not return again, and those who captured him and handed him over to the Romans take over the land and have power and authority.
The United States has been hijacked by a cabal that owns and controls the money, the media, and a powerful extremist lobby that supports the State of Israel.
Hundreds of billions have been spent on this parasitic racist state, which should have been spent on tens of thousands of homeless people, drug victims, veterans, and those who cannot pay their loans.
All the peoples and countries of the world view the U.S as a hypocrite who raises false slogans because of his condoning the crimes of the rogue state of Israel.
The U.S veto was lifted more than forty times against resolutions issued by the UN Council criticizing Israel!
What is strange is that Israel is spying on U.S, and this has been revealed twice!!
Journalists, children, women, hospitals, cutting off water and electricity, mosques and churches... killing, bombing, bombing, destruction, lying, deception and treachery are all practices that this despicable state has been practicing for more than 75 years.
All international bodies and human rights organizations have issued statements and reports documenting these practices.
He is an ugly, racist child who was born illegitimately. The UK placed him in the Middle East, through the ill-fated ""Balfour Declaration"", where he shares no language, religion or culture, and bears no resemblance to the indigenous people or the countries around him.
Now U.S is defending him and spending on him hysterically and insanely, until he has become a monster that most of the world hates.. Without taxpayer money and some corporations, Israel will disappear, justice and peace will return, and a large part of the world will be happy, the first of which is Jesus..",0,0,NBC News,USA
@Dam-a-fence,"$106M
I had hope, then it was dashed with one announcement.
Neighbor, you cannot stop violence with violence.
Ukraine doesn't count. That's not violence, that is theft that results in violence.
No, The Promised Land doesn't belong to Abrahams offspring, legitimate or not.
God is a manifestation of man.
It doesn't exist as man defines it.",0,0,NBC News,USA
@user-rm4hw5xd9n,The Israelis must be held accountable,4,2,NBC News,USA
