author,comment,voteCount,replyCount,channel,country
@Dwn2Race,sad havent saying several week month hamas health system correct running show,0,0,NBC News,USA
@benknowbi3380,well voted hamas take complaint wheres protection hamas allah supposed yo provide,4,0,NBC News,USA
@user-cg5st2ek1k,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 49 MINUTES 23 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,5,0,NBC News,USA
@randyprince892,make bed lie palestinian one blame,0,0,NBC News,USA
@zb6070,gaze health system collapsing random person hamas surrender release hostage quit using hospital military shield lol om,5,0,NBC News,USA
@paulbacon517,death destruction despair hamas muslim hate jew deepseeded keep fighting idf keep retaliating nothing left standing gaza war would end tomorrow hamas would stop attacking israel lay weapon,0,0,NBC News,USA
@ZOIZENWRITER,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 49 MINUTES 20 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,2,0,NBC News,USA
@ahm-jq,jesus return captured handed roman take land power authority united state hijacked cabal owns control money medium powerful extremist lobby support state israel hundred billion spent parasitic racist state spent ten thousand homeless people drug victim veteran pay loan people country world view u hypocrite raise false slogan condoning crime rogue state israel u veto lifted forty time resolution issued un council criticizing israel strange israel spying u revealed twice journalist child woman hospital cutting water electricity mosque church killing bombing bombing destruction lying deception treachery practice despicable state practicing year international body human right organization issued statement report documenting practice ugly racist child born illegitimate uk placed middle east inflated valour declaration share language religion culture bear resemblance indigenous people country around u defending spending hysterically insanely become monster world hate without taxpayer money corporation israel disappear justice peace return large part world happy first jesus,0,0,NBC News,USA
@Dam-a-fence,hope dashed one announcement neighbor stop violence violence ukraine n't count thats violence theft result violence promised land n't belong abraham offspring legitimate god manifestation man n't exist man defines,0,0,NBC News,USA
@user-rm4hw5xd9n,israeli must held accountable,4,2,NBC News,USA
@user-rm4hw5xd9n,palestine gave refuge thousand jew kicked europe slowly zionist state started expanding taking away land innocent palestinian civilian help evil state like u uk,1,0,NBC News,USA
@hanab100,world health organization also recommends breastfeeding least yearsexclusively week provides week maternity leave employee ignore fact took month carry baby postpartum real year long thing especially breastfeeding dont sincerely care woman world make people think credible source,2,0,NBC News,USA
@nancymarie7749,body want,0,0,NBC News,USA
@clo1187,dancing celebrating happened,1,0,NBC News,USA
@user-rm4hw5xd9n,israel started war please read history israel blood hand israel oppressor claim victim read history see blood israeli hand,1,1,NBC News,USA
@benkhaderikram,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 10 HOURS 49 MINUTES 15 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,NBC News,USA
@lemontadams3029,israeli army arbitrarily detains palestinian woman girl gaza family fear woman detained soldier taken undisclosed location,0,0,NBC News,USA
@sasabusuioc3676,,0,0,NBC News,USA
@hichamhichem1848,truly regret world become full zionist race studied single word true history land palestine think truly land jew ignorance truly brings destruction world,0,0,NBC News,USA
@dman7208,one government start attack another government right cry get thing back,1,0,NBC News,USA
@leilamiller8201,u wrong arab mad jew kept coming back ancient homeland arab attacked jewish community first jew started forming army order protect jewish community arab muslim arab muslim n't like jew governing arab thought jew keep oppressed pay larger tax like christian religion territory arab muslim conquering land destroy archeological remnant people culture religion ethnicity really respect human belief,0,0,NBC News,USA
@user-rm4hw5xd9n,israel started war please read history israel blood hand israel oppressor claim victim read history see blood israeli hand,0,0,NBC News,USA
@nancymarie7749,absolutely israel n't start war,5,0,NBC News,USA
@jetlavi,gaze health system collapsing like,10,1,NBC News,USA
@nakaylanash5089,raised fist raised fist raised fist raised fist red heart red heart red heart red heart,5,0,NBC News,USA
@tsukeisawa7786,reminder square palestine square paraded naked shank look prisoner around amusement groan flag menorah course nba try hide audience,0,0,NBC News,USA
